committed	source	w	h	source_w	source_h	distance
assets/img/projects/emma-lane-kitchen-brick-backsplash.jpg	assets/img/projects/emma-lane-guest-house/emma-lane-guest-house-40.jpg	1400	1750	1638	2048	0.0002
assets/img/projects/emma-lane-kitchen-oak-floating-shelves.jpg	assets/img/projects/emma-lane-guest-house/emma-lane-guest-house-35.jpg	1400	2099	1707	2560	0.00057
assets/img/projects/emma-lane-kitchen-powder-blue-cabinetry.jpg	assets/img/projects/emma-lane-guest-house/emma-lane-guest-house-29.jpg	1400	933	2048	1365	0.00018
assets/img/projects/emma-lane-shower-herringbone-tile.jpg	assets/img/projects/emma-lane-guest-house/emma-lane-guest-house-24.jpg	1400	1750	1638	2048	0.0002
assets/img/projects/evergreen-bathroom-black-steel-door.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-24.jpg	1400	933	2048	1366	0.00014
assets/img/projects/evergreen-bathroom-brass-shower-pull.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-17.jpg	1400	1960	1463	2048	0.0007
assets/img/projects/evergreen-bathroom-clover-handle-faucets.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-13.jpg	1400	2099	1707	2560	0.00038
assets/img/projects/evergreen-bathroom-floor-mount-tub-filler.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-18.jpg	1400	1000	2048	1463	0.0001
assets/img/projects/evergreen-bathroom-frameless-glass-shower.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-02.jpg	1400	1960	1463	2048	0.00091
assets/img/projects/evergreen-bathroom-marble-floor-mosaic.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-14.jpg	1400	933	2048	1365	0.00025
assets/img/projects/evergreen-bathroom-sage-palm-cover.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-01.jpg	800	571	2048	1463	8e-05
assets/img/projects/evergreen-bathroom-sage-palm-hero-1400.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-01.jpg	1400	999	2048	1463	9e-05
assets/img/projects/evergreen-bathroom-sage-palm-hero-800.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-01.jpg	800	571	2048	1463	0.00015
assets/img/projects/evergreen-bathroom-sage-palm-hero.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-01.jpg	2000	1428	2048	1463	0.00022
assets/img/projects/evergreen-bathroom-tub-capiz-pendant.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-20.jpg	1400	1960	1463	2048	8e-05
assets/img/projects/evergreen-bathroom-two-tone-vanity.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-15.jpg	1400	933	2048	1365	0.00018
assets/img/projects/evergreen-bathroom-walk-in-closet-beyond.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-25.jpg	1400	1960	1463	2048	0.00014
assets/img/projects/evergreen-bathroom-white-oak-drawers.jpg	assets/img/projects/evergreen-suite-bathroom/evergreen-suite-bathroom-11.jpg	1400	1750	1638	2048	0.00016
assets/img/projects/evergreen-bedroom-black-steel-barn-door.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-03.jpg	1400	1750	1638	2048	0.00022
assets/img/projects/evergreen-bedroom-brass-wrapped-sconce.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-11.jpg	1400	2099	1707	2560	0.00032
assets/img/projects/evergreen-bedroom-brindle-hide-bench.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-17.jpg	1400	2099	1707	2560	0.0004
assets/img/projects/evergreen-bedroom-camel-geometric-pillows.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-13.jpg	1400	2099	1707	2560	0.00023
assets/img/projects/evergreen-bedroom-gold-leaning-mirror.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-06.jpg	1400	1960	1463	2048	7e-05
assets/img/projects/evergreen-bedroom-headboard-nightstand.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-02.jpg	1400	1000	2048	1463	4e-05
assets/img/projects/evergreen-bedroom-navy-grid-wall-cover.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-01.jpg	800	533	2048	1365	0.00043
assets/img/projects/evergreen-bedroom-navy-grid-wall-hero-1400.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-01.jpg	1400	933	2048	1365	0.00014
assets/img/projects/evergreen-bedroom-navy-grid-wall-hero-800.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-01.jpg	800	533	2048	1365	0.00043
assets/img/projects/evergreen-bedroom-navy-grid-wall-hero.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-01.jpg	2000	1333	2048	1365	6e-05
assets/img/projects/evergreen-bedroom-nightstand-vignette.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-15.jpg	1400	2099	1707	2560	0.0003
assets/img/projects/evergreen-bedroom-peonies-on-bench.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-07.jpg	1400	2099	1707	2560	0.00037
assets/img/projects/evergreen-bedroom-rust-quilted-coverlet.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-04.jpg	1400	933	2048	1365	6e-05
assets/img/projects/evergreen-bedroom-through-mirror-frame.jpg	assets/img/projects/evergreen-suite-bedroom/evergreen-suite-bedroom-20.jpg	1400	2099	1707	2560	0.0008
assets/img/projects/gateway-condo-balcony-bistro-table.jpg	assets/img/projects/gateway-condo/gateway-condo-21.jpg	1400	1750	2400	3000	0.00022
assets/img/projects/gateway-condo-entry-hall-staircase.jpg	assets/img/projects/gateway-condo/gateway-condo-29.jpg	1400	1960	2400	3360	4e-05
assets/img/projects/gateway-condo-fireplace-gilt-painting.jpg	assets/img/projects/gateway-condo/gateway-condo-15.jpg	1400	1960	2400	3360	6e-05
assets/img/projects/gateway-condo-gilt-arched-floor-mirror.jpg	assets/img/projects/gateway-condo/gateway-condo-24.jpg	1400	1960	2400	3360	6e-05
assets/img/projects/gateway-condo-kitchen-checkerboard-floor.jpg	assets/img/projects/gateway-condo/gateway-condo-10.jpg	1400	1051	2400	1803	0.00017
assets/img/projects/gateway-condo-lacquer-hood-brass-banding.jpg	assets/img/projects/gateway-condo/gateway-condo-12.jpg	1400	2100	2400	3600	0.0002
assets/img/projects/gateway-condo-living-room-coffered-ceiling.jpg	assets/img/projects/gateway-condo/gateway-condo-14.jpg	1400	933	2400	1600	0.00047
assets/img/projects/gateway-condo-powder-room-botanical-mural.jpg	assets/img/projects/gateway-condo/gateway-condo-01.jpg	1400	1960	2400	3360	3e-05
assets/img/projects/gateway-condo-primary-bath-walnut-towers.jpg	assets/img/projects/gateway-condo/gateway-condo-25.jpg	1400	1960	2400	3360	5e-05
assets/img/projects/gateway-condo-primary-bedroom-cover.jpg	assets/img/projects/gateway-condo/gateway-condo-23.jpg	800	533	2400	1601	0.00023
assets/img/projects/gateway-condo-primary-bedroom-hero-1400.jpg	assets/img/projects/gateway-condo/gateway-condo-23.jpg	1400	933	2400	1601	0.00012
assets/img/projects/gateway-condo-primary-bedroom-hero-800.jpg	assets/img/projects/gateway-condo/gateway-condo-23.jpg	800	533	2400	1601	5e-05
assets/img/projects/gateway-condo-primary-bedroom-hero.jpg	assets/img/projects/gateway-condo/gateway-condo-23.jpg	2000	1334	2400	1601	0.00045
assets/img/projects/gateway-condo-study-paneled-built-ins.jpg	assets/img/projects/gateway-condo/gateway-condo-27.jpg	1400	1960	2400	3360	5e-05
assets/img/projects/jenns-kitchen-coffee-station.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-05.jpg	1400	1750	1638	2048	0.00033
assets/img/projects/jenns-kitchen-island-cone-pendants.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-02.jpg	1400	1960	1463	2048	8e-05
assets/img/projects/jenns-kitchen-island-x-brace-panel.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-01.jpg	1400	1960	1463	2048	0.00011
assets/img/projects/jenns-kitchen-oak-shelf-gilt-landscape.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-09.jpg	1400	1750	1638	2048	0.0003
assets/img/projects/jenns-kitchen-perimeter-run-full-height-tile.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-04.jpg	1400	1960	1463	2048	0.0001
assets/img/projects/jenns-kitchen-terracotta-mugs-shelf.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-06.jpg	1400	1750	1638	2048	0.00021
assets/img/projects/jenns-kitchen-white-oak-hood-cover.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-03.jpg	800	533	2048	1365	0.00053
assets/img/projects/jenns-kitchen-white-oak-hood-hero-1400.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-03.jpg	1400	933	2048	1365	0.00015
assets/img/projects/jenns-kitchen-white-oak-hood-hero-800.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-03.jpg	800	533	2048	1365	0.00053
assets/img/projects/jenns-kitchen-white-oak-hood-hero.jpg	assets/img/projects/jenn-s-kitchen/jenn-s-kitchen-03.jpg	2000	1333	2048	1365	8e-05
assets/img/projects/knoll-kitchen-brass-gooseneck-faucet.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-17.jpg	1400	1750	1638	2048	0.00036
assets/img/projects/knoll-kitchen-cane-barrel-chairs-shutters.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-25.jpg	1400	933	2048	1365	0.00012
assets/img/projects/knoll-kitchen-coffee-bar-sage-brick.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-12.jpg	1400	1960	1463	2048	0.00014
assets/img/projects/knoll-kitchen-island-brass-drum-pendants.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-02.jpg	1400	933	2048	1365	0.00021
assets/img/projects/knoll-kitchen-island-woven-stools.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-04.jpg	1400	1960	1463	2048	6e-05
assets/img/projects/knoll-kitchen-marble-slab-pot-filler.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-11.jpg	1400	1750	1638	2048	0.00031
assets/img/projects/knoll-kitchen-plaster-hood-cover.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-01.jpg	800	533	2048	1365	0.00053
assets/img/projects/knoll-kitchen-plaster-hood-hero-1400.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-01.jpg	1400	933	2048	1365	0.0002
assets/img/projects/knoll-kitchen-plaster-hood-hero-800.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-01.jpg	800	533	2048	1365	0.00059
assets/img/projects/knoll-kitchen-plaster-hood-hero.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-01.jpg	2000	1333	2048	1365	8e-05
assets/img/projects/knoll-kitchen-range-hood-brass-knobs.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-10.jpg	1400	1960	1463	2048	4e-05
assets/img/projects/knoll-kitchen-range-wall-garden-door.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-09.jpg	1400	933	2048	1365	0.00012
assets/img/projects/knoll-kitchen-serving-buffet-oak-hutches.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-22.jpg	1400	933	2048	1365	0.00057
assets/img/projects/knoll-kitchen-sitting-nook-cane-chairs.jpg	assets/img/projects/knoll-kitchen/knoll-kitchen-23.jpg	1400	1750	1638	2048	0.00011
assets/img/projects/mountain-falls-bath-interior-shower-window.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-18.jpg	1400	933	2048	1365	0.00024
assets/img/projects/mountain-falls-brass-pulls-slate-vanity.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-09.jpg	1400	2099	1707	2560	0.00067
assets/img/projects/mountain-falls-counter-styling-detail.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-13.jpg	1400	2099	1707	2560	0.00083
assets/img/projects/mountain-falls-double-vanity-gold-mirror.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-14.jpg	1400	1960	1463	2048	0.00014
assets/img/projects/mountain-falls-geometric-marble-mosaic.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-15.jpg	1400	933	2048	1365	0.00014
assets/img/projects/mountain-falls-gooseneck-rain-head.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-12.jpg	1400	2099	1707	2560	0.00119
assets/img/projects/mountain-falls-primary-bath-chandelier-cover.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-21.jpg	800	533	2048	1365	0.00042
assets/img/projects/mountain-falls-primary-bath-chandelier-hero-1400.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-21.jpg	1400	933	2048	1365	0.00022
assets/img/projects/mountain-falls-primary-bath-chandelier-hero-800.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-21.jpg	800	533	2048	1365	0.00047
assets/img/projects/mountain-falls-primary-bath-chandelier-hero.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-21.jpg	2000	1333	2048	1365	0.00017
assets/img/projects/mountain-falls-shower-twin-rain-heads.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-22.jpg	1400	1960	1463	2048	0.00058
assets/img/projects/mountain-falls-tub-oak-ceiling-beams.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-20.jpg	1400	1960	1463	2048	0.00045
assets/img/projects/mountain-falls-vanity-alcove-oak-shelves.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-17.jpg	1400	1960	1463	2048	0.00013
assets/img/projects/mountain-falls-widespread-faucet-greige-tile.jpg	assets/img/projects/mountain-falls-primary-bath/mountain-falls-primary-bath-01.jpg	1400	933	2048	1365	0.00012
assets/img/projects/pinewold-kitchen-aged-brass-bar-pulls.jpg	assets/img/projects/pinewold-kitchen/pinewold-kitchen-23.jpg	1400	1750	2400	3000	0.00015
assets/img/projects/pinewold-kitchen-aisle-apron-sink.jpg	assets/img/projects/pinewold-kitchen/pinewold-kitchen-12.jpg	1400	1960	2400	3360	4e-05
